"ID","oc_coffee_doll","NPV_restoration","total_bags","area_coffe_field_ha","group","total_bags_presente","bags_dif","yield_reais_pres","yield_reais_futur","dif_reais","NPV_yield_r","NPV_yield_d","NPV_yield_r_n.progr","NPV_yield_d_n.progr","NPV_yield_r_pres","NPV_yield_d_pres","CARedit","area_rest_ha","total_cost","NUM_MODULO","Sobreposicao","Area_Propriedade_ha","X","Y","APP_area_ha","RL_area_ha","CD_GEOCMU","regiao","Veg_area_ha","PropRL","PropVeg","Cafe_ha","Prop_coffee","Shape_Length","Shape_Area","Perimeter_Area","APPRast_ha","PropAPPrast","Veg_posrest_ha","PropVegposrest","target","compensation_costs","scale","Potential_comp_gain","restor_cost","TonC","rest_desc","restor_cost_f","total_cost_minusCoffee","total_benefits","c_b"
"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1indiv30",139.24287484366,4150.80790384503,230.490000000003,17.7300000000002,"Scenarios",445.499999999997,-215.009999999994,190531.065779999,98575.7695884013,-91955.2961915974,-902830.652904763,-280893.381403661,-902830.652904763,-280893.381403661,1870662.08952644,582010.145645941,"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1",4.32,16208.3765702939,5.002,0.0242903040297352,130.052108764648,349791.15625,7682985.5,16.951322555542,25.8904781341553,3101904,3105,39.7424049377441,0.199077725410461,0.30558830499649,17.9325008392334,0.137887045741081,6921.42618027252,1300521.08656177,0.00532204052433372,5.13000011444092,0.0394457280635834,44.0624049377441,0.338805770673682,"fl30",0,"farm-level",1738.23597386884,15394.9612563113,364.913154602051,0.783215265417169,12057.5686664489,16069.1336954503,-279155.145429792,-295224.279125242
"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1indiv40",278.485749687319,7564.40632063211,211.679999999998,17.6399999999998,"Scenarios",445.499999999997,-233.819999999999,190531.065779999,90531.1245887991,-99999.9411911996,-981814.163351457,-305467.143108719,-981814.163351457,-305467.143108719,1870662.08952644,582010.145645941,"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1",12.42,28582.424060528,5.002,0.0242903040297352,130.052108764648,349791.15625,7682985.5,16.951322555542,25.8904781341553,3101904,3105,39.7424049377441,0.199077725410461,0.30558830499649,17.9325008392334,0.137887045741081,6921.42618027252,1300521.08656177,0.00532204052433372,5.13000011444092,0.0394457280635834,52.1624049377441,0.401088497781616,"fl40",0,"farm-level",14530.2910486866,33964.8441822976,1041.41692474365,0.618816845650374,21018.0177398959,28303.9383108407,-290936.852060032,-319240.790370873
"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1int20",139.24287484366,4150.80790384503,443.250000000005,17.7300000000002,"Scenarios",445.499999999997,-2.24999999999199,190531.065779999,189568.787670002,-962.27810999655,-9447.78833090783,-2939.44518001949,-9447.78833090783,-2939.44518001949,1870662.08952644,582010.145645941,"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1",4.32,16208.3765702939,5.002,0.0242903040297352,130.052108764648,349791.15625,7682985.5,16.951322555542,25.8904781341553,3101904,3105,39.7424049377441,0.199077725410461,0.30558830499649,17.9325008392334,0.137887045741081,6921.42618027252,1300521.08656177,0.00532204052433372,5.13000011444092,0.0394457280635834,44.0624049377441,0.338805770673681,"rl20",0,"regional-level",0,15394.9612563113,364.913154602051,0.783215265417169,12057.5686664489,16069.1336954503,-2939.44518001949,-19008.5788754698
"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1int30",139.24287484366,4150.80790384503,390.060000000004,17.7300000000002,"Scenarios",445.499999999997,-55.439999999993,190531.065779999,166820.533149602,-23710.532630397,-232793.504474374,-72427.9292359305,-232793.504474374,-72427.9292359305,1870662.08952644,582010.145645941,"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1",4.32,16208.3765702939,5.002,0.0242903040297352,130.052108764648,349791.15625,7682985.5,16.951322555542,25.8904781341553,3101904,3105,39.7424049377441,0.199077725410461,0.30558830499649,17.9325008392334,0.137887045741081,6921.42618027252,1300521.08656177,0.00532204052433372,5.13000011444092,0.0394457280635834,44.0624049377441,0.338805770673681,"rl30",0,"regional-level",0,15394.9612563113,364.913154602051,0.783215265417169,12057.5686664489,16069.1336954503,-72427.9292359305,-88497.0629313808
"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1int40",139.24287484366,4150.80790384503,443.250000000005,17.7300000000002,"Scenarios",445.499999999997,-2.24999999999199,190531.065779999,189568.787670002,-962.27810999655,-9447.78833090783,-2939.44518001949,-9447.78833090783,-2939.44518001949,1870662.08952644,582010.145645941,"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1",4.32,16208.3765702939,5.002,0.0242903040297352,130.052108764648,349791.15625,7682985.5,16.951322555542,25.8904781341553,3101904,3105,39.7424049377441,0.199077725410461,0.30558830499649,17.9325008392334,0.137887045741081,6921.42618027252,1300521.08656177,0.00532204052433372,5.13000011444092,0.0394457280635834,44.0624049377441,0.338805770673681,"rl40",0,"regional-level",0,15394.9612563113,364.913154602051,0.783215265417169,12057.5686664489,16069.1336954503,-2939.44518001949,-19008.5788754698
"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1present",0,0,445.499999999997,17.8199999999999,"Present",445.499999999997,0,190531.065779999,190531.065779999,0,0,0,0,0,1870662.08952644,582010.145645941,"MG-3101904-1D3C2E99A8CE4CE39E9D65AB10BAF7C1",0,0,5.002,0.0242903040297352,130.052108764648,349791.15625,7682985.5,16.951322555542,25.8904781341553,3101904,3105,39.7424049377441,0.199077725410461,0.30558830499649,17.9325008392334,0.137887045741081,6921.42618027252,1300521.08656177,0.00532204052433372,5.13000011444092,0.0394457280635834,39.7424049377441,0.30558830499649,"present",0,"present",0,0,0,0,0,0,0,0
"MG-3101904-76A6E111D2404887ACC35014BFE24EF5indiv10",278.485749687319,7644.8634255404,1301.40000000009,46.0800000000033,"Scenarios",1286.37000000012,15.02999999997,550153.641049251,556581.658824038,6428.01777478715,23374.2317340292,7272.31288432652,63111.2260505644,19635.4938025613,5401489.54456649,1680539.59832692,"MG-3101904-76A6E111D2404887ACC35014BFE24EF5",6.12,25734.9726414966,13.45,0.029035379,349.6402588,364803.3438,7688282.5,19.12822151,72.25074768,3101904,3105,132.6967926,0.206643105,0.379523784,46.21500015,0.132178709,13339.1679,3496402.512,0.003815112,6.03000021,0.017246298,138.8167926,0.397027484982516,"fl10",0,"farm-level",78585.0992371486,25121.0573744596,504.395539398193,0.720117348020084,18090.1092159562,25456.4868918093,98220.5930397099,72764.1061479006
"MG-3101904-76A6E111D2404887ACC35014BFE24EF5indiv20",278.485749687319,7644.8634255404,1377.18000000011,46.0800000000033,"Scenarios",1286.37000000012,90.8099999999902,550153.641049251,588991.185568847,38837.5445195958,141225.148620839,43938.7047922116,381312.737036766,118636.007465999,5401489.54456649,1680539.59832692,"MG-3101904-76A6E111D2404887ACC35014BFE24EF5",6.12,25734.972638543,13.45,0.029035379052957,349.640258789062,364803.34375,7688282.5,19.1282215118408,72.2507476806641,3101904,3105,132.696792602539,0.206643104553223,0.379523783922195,46.2150001525879,0.132178708910942,13339.1678994511,3496402.51192474,0.00381511216983199,6.03000020980835,0.0172462984919548,138.816792602539,0.397027485002198,"fl20",0,"farm-level",78585.099241706,25121.057370358,512.039228439331,0.720117348020084,18090.1092130026,25456.4868888557,197221.106707705,171764.619818849
"MG-3101904-76A6E111D2404887ACC35014BFE24EF5indiv30",278.485749687319,7644.8634255404,1213.47000000008,46.0800000000033,"Scenarios",1286.37000000012,-72.9000000000399,550153.641049251,518975.830285234,-31177.8107640171,-306108.341922679,-95238.023833025,-306108.341922679,-95238.023833025,5401489.54456649,1680539.59832692,"MG-3101904-76A6E111D2404887ACC35014BFE24EF5",6.12,25734.972638543,13.45,0.029035379052957,349.640258789062,364803.34375,7688282.5,19.1282215118408,72.2507476806641,3101904,3105,132.696792602539,0.206643104553223,0.379523783922195,46.2150001525879,0.132178708910942,13339.1678994511,3496402.51192474,0.00381511216983199,6.03000020980835,0.0172462984919548,138.816792602539,0.397027485002198,"fl30",0,"farm-level",78585.099241706,25121.057370358,512.039228439331,0.720117348020084,18090.1092130026,25456.4868888557,-16652.924591319,-42109.4114801747
"MG-3101904-76A6E111D2404887ACC35014BFE24EF5indiv40",278.485749687319,8100.00988111201,1479.8700000001,46.0800000000033,"Scenarios",1286.37000000012,193.49999999998,550153.641049251,632909.558509243,82755.9174599914,300925.737893761,93625.5850379141,812509.796460902,252792.285482556,5401489.54456649,1680539.59832692,"MG-3101904-76A6E111D2404887ACC35014BFE24EF5",7.2,26789.6168714546,13.45,0.029035379052957,349.640258789062,364803.34375,7688282.5,19.1282215118408,72.2507476806641,3101904,3105,132.696792602539,0.206643104553223,0.379523783922195,46.2150001525879,0.132178708910942,13339.1678994511,3496402.51192474,0.00381511216983199,6.03000020980835,0.0172462984919548,139.896792602539,0.400116374147116,"fl40",0,"farm-level",80290.7065850147,26929.1599980384,611.366493301392,0.694028591746047,18689.6069903426,26511.1311217673,333082.992067571,306571.860945803
"MG-3101904-76A6E111D2404887ACC35014BFE24EF5int20",278.485749687319,7644.8634255404,1100.43000000006,46.0800000000033,"Scenarios",1286.37000000012,-185.94000000006,550153.641049251,470630.978038826,-79522.6630104256,-780765.227669274,-242915.749677759,-780765.227669274,-242915.749677759,5401489.54456649,1680539.59832692,"MG-3101904-76A6E111D2404887ACC35014BFE24EF5",6.12,25734.972638543,13.45,0.029035379052957,349.640258789062,364803.34375,7688282.5,19.1282215118408,72.2507476806641,3101904,3105,132.696792602539,0.206643104553223,0.379523783922195,46.2150001525879,0.132178708910942,13339.1678994511,3496402.51192474,0.00381511216983199,6.03000020980835,0.0172462984919548,138.816792602539,0.397027485002198,"rl20",0,"regional-level",41013.0105547559,25121.057370358,504.395539398193,0.720117348020084,18090.1092130026,25456.4868888557,-201902.739123003,-227359.226011859
"MG-3101904-76A6E111D2404887ACC35014BFE24EF5int30",278.485749687319,7644.8634255404,1084.50000000006,46.0800000000033,"Scenarios",1286.37000000012,-201.87000000006,550153.641049251,463818.049020026,-86335.5920292257,-847655.569052341,-263727.021552372,-847655.569052341,-263727.021552372,5401489.54456649,1680539.59832692,"MG-3101904-76A6E111D2404887ACC35014BFE24EF5",6.12,25734.972638543,13.45,0.029035379052957,349.640258789062,364803.34375,7688282.5,19.1282215118408,72.2507476806641,3101904,3105,132.696792602539,0.206643104553223,0.379523783922195,46.2150001525879,0.132178708910942,13339.1678994511,3496402.51192474,0.00381511216983199,6.03000020980835,0.0172462984919548,138.816792602539,0.397027485002198,"rl30",0,"regional-level",40928.3452342959,25121.057370358,504.395539398193,0.720117348020084,18090.1092130026,25456.4868888557,-222798.676318076,-248255.163206932
"MG-3101904-76A6E111D2404887ACC35014BFE24EF5int40",278.485749687319,7644.8634255404,1591.0200000001,46.0800000000033,"Scenarios",1286.37000000012,304.64999999998,550153.641049251,680446.097143243,130292.456093991,473783.080358335,147405.862955047,1279230.54000942,398000.877376039,5401489.54456649,1680539.59832692,"MG-3101904-76A6E111D2404887ACC35014BFE24EF5",6.12,25734.972638543,13.45,0.029035379052957,349.640258789062,364803.34375,7688282.5,19.1282215118408,72.2507476806641,3101904,3105,132.696792602539,0.206643104553223,0.379523783922195,46.2150001525879,0.132178708910942,13339.1678994511,3496402.51192474,0.00381511216983199,6.03000020980835,0.0172462984919548,138.816792602539,0.397027485002198,"rl40",0,"regional-level",40869.6908316947,25121.057370358,504.395539398193,0.720117348020084,18090.1092130026,25456.4868888557,438870.568207734,413414.081318878
"MG-3101904-76A6E111D2404887ACC35014BFE24EF5present",0,0,1286.37000000012,46.350000000004,"Present",1286.37000000012,0,550153.641049251,550153.641049251,0,0,0,0,0,5401489.54456649,1680539.59832692,"MG-3101904-76A6E111D2404887ACC35014BFE24EF5",0,0,13.45,0.029035379052957,349.640258789062,364803.34375,7688282.5,19.1282215118408,72.2507476806641,3101904,3105,132.696792602539,0.206643104553223,0.379523783922195,46.2150001525879,0.132178708910942,13339.1678994511,3496402.51192474,0.00381511216983199,6.03000020980835,0.0172462984919548,132.696792602539,0.379523783922195,"present",0,"present",0,0,0,0,0,0,0,0
"MG-3101904-8333B0DA3B0C43028018A18A0FD696DBindiv10",1670.91449812391,5542.72561202462,3048.0300000002,49.2300000000032,"Scenarios",1910.97000000015,1137.06000000005,817282.044385264,1303578.91005489,486296.865669621,1768323.61513969,550170.065753107,4774534.3109249,1485478.01618004,8024195.58523603,2496529.5803033,"MG-3101904-8333B0DA3B0C43028018A18A0FD696DB",5.94,28881.6263947548,5.0744,0.031118891,131.9347992,347786.4375,7685536.5,15.68905926,26.37754822,3101904,3105,15.04587936,0.199928671,0.114040263,50.51250076,0.382859558,6122.114923,1319348.035,0.004640258,6.480000019,0.04911517,20.98587936,0.159062502745674,"fl10",8529.74308193631,"farm-level",0,20422.9234179754,487.140182418823,0.72512428302794,14809.1577007939,27210.7118966309,1485478.01618004,1458267.30428341
"MG-3101904-8333B0DA3B0C43028018A18A0FD696DBindiv20",1708.84336942168,7856.38676118031,1277.28000000008,49.1400000000032,"Scenarios",1910.97000000015,-633.69000000007,817282.044385264,546266.037484834,-271016.00690043,-2660875.10552671,-827865.340503747,-2660875.10552671,-827865.340503747,8024195.58523603,2496529.5803033,"MG-3101904-8333B0DA3B0C43028018A18A0FD696DB",11.43,26402.736444488,5.0744,0.0311188911566485,131.934799194336,347786.4375,7685536.5,15.6890592575073,26.3775482177734,3101904,3105,15.0458793640137,0.199928671121597,0.11404026299715,50.5125007629395,0.38285955786705,6122.11492342706,1319348.03452395,0.00464025791734457,6.48000001907349,0.0491151697933674,26.4758793640137,0.200673965668569,"fl20",0,"farm-level",0,29475.8333389174,943.928631820679,0.6292052702992,18546.3496833077,24693.8930750663,-827865.340503747,-852559.233578813
"MG-3101904-8333B0DA3B0C43028018A18A0FD696DBindiv30",2126.57199395266,13431.9308419325,3148.06500000021,48.8700000000032,"Scenarios",1910.97000000015,1237.09500000006,817282.044385264,1346361.79482549,529079.750440226,1923895.22335783,598572.315878532,5194582.98011862,1616165.74888419,8024195.58523603,2496529.5803033,"MG-3101904-8333B0DA3B0C43028018A18A0FD696DB",24.66,44685.1475246738,5.0744,0.0311188911566485,131.934799194336,347786.4375,7685536.5,15.6890592575073,26.3775482177734,3101904,3105,15.0458793640137,0.199928671121597,0.11404026299715,50.5125007629395,0.38285955786705,6122.11492342706,1319348.03452395,0.00464025791734457,6.48000001907349,0.0491151697933674,39.7058793640137,0.300950769671678,"fl30",0,"farm-level",0,57389.859119005,2055.46391990662,0.544577337573418,31253.2166827413,42558.5755307211,1616165.74888419,1573607.17335347
"MG-3101904-8333B0DA3B0C43028018A18A0FD696DBindiv40",2544.30061848364,19007.4749226848,1602.18000000011,48.6000000000032,"Scenarios",1910.97000000015,-308.79000000004,817282.044385264,685218.996568847,-132063.047816417,-1296614.47053861,-403409.456507373,-1296614.47053861,-403409.456507373,8024195.58523603,2496529.5803033,"MG-3101904-8333B0DA3B0C43028018A18A0FD696DB",37.89,64127.1824816384,5.0744,0.0311188911566485,131.934799194336,347786.4375,7685536.5,15.6890592575073,26.3775482177734,3101904,3105,15.0458793640137,0.199928671121597,0.11404026299715,50.5125007629395,0.38285955786705,6122.11492342706,1319348.03452395,0.00464025791734457,6.48000001907349,0.0491151697933674,52.9358793640137,0.401227573674787,"fl40",0,"farm-level",17150.608722033,89077.1878531942,3167.08892097473,0.506523708778439,45119.7075589536,61582.8818631548,-386258.84778534,-447841.729648495
"MG-3101904-8333B0DA3B0C43028018A18A0FD696DBint20",1670.91449812391,5542.72561202462,1576.3500000001,49.2300000000032,"Scenarios",1910.97000000015,-334.62000000005,817282.044385264,674172.043866043,-143110.000519221,-1405075.08057786,-437154.28717413,-1405075.08057786,-437154.28717413,8024195.58523603,2496529.5803033,"MG-3101904-8333B0DA3B0C43028018A18A0FD696DB",5.94,28883.0810200581,5.0744,0.0311188911566485,131.934799194336,347786.4375,7685536.5,15.6890592575073,26.3775482177734,3101904,3105,15.0458793640137,0.199928671121597,0.11404026299715,50.5125007629395,0.38285955786705,6122.11492342706,1319348.03452395,0.00464025791734457,6.48000001907349,0.0491151697933674,20.9858793640137,0.159062502782925,"rl20",8531.1977084576,"regional-level",0,20422.9234162957,487.140182418823,0.72512428302794,14809.1576995759,27212.1665219342,-437154.28717413,-464366.453696064
"MG-3101904-8333B0DA3B0C43028018A18A0FD696DBint30",1670.91449812391,5542.72561202462,1722.42000000011,49.2300000000032,"Scenarios",1910.97000000015,-188.55000000004,817282.044385264,736643.138767247,-80638.9056180172,-791724.662133083,-246325.506086568,-791724.662133083,-246325.506086568,8024195.58523603,2496529.5803033,"MG-3101904-8333B0DA3B0C43028018A18A0FD696DB",5.94,29721.6470091485,5.0744,0.0311188911566485,131.934799194336,347786.4375,7685536.5,15.6890592575073,26.3775482177734,3101904,3105,15.0458793640137,0.199928671121597,0.11404026299715,50.5125007629395,0.38285955786705,6122.11492342706,1319348.03452395,0.00464025791734457,6.48000001907349,0.0491151697933674,20.9858793640137,0.159062502782925,"rl30",9369.76369754794,"regional-level",0,20422.9234162957,487.140182418823,0.72512428302794,14809.1576995759,28050.7325110245,-246325.506086568,-274376.238597593
"MG-3101904-8333B0DA3B0C43028018A18A0FD696DBint40",1670.91449812391,5542.72561202462,1868.49000000012,49.2300000000032,"Scenarios",1910.97000000015,-42.48000000003,817282.044385264,799114.233668451,-18167.8107168128,-178374.243688305,-55496.7249990061,-178374.243688305,-55496.7249990061,8024195.58523603,2496529.5803033,"MG-3101904-8333B0DA3B0C43028018A18A0FD696DB",5.94,29631.6268571401,5.0744,0.0311188911566485,131.934799194336,347786.4375,7685536.5,15.6890592575073,26.3775482177734,3101904,3105,15.0458793640137,0.199928671121597,0.11404026299715,50.5125007629395,0.38285955786705,6122.11492342706,1319348.03452395,0.00464025791734457,6.48000001907349,0.0491151697933674,20.9858793640137,0.159062502782925,"rl40",9279.7435455396,"regional-level",0,20422.9234162957,487.140182418823,0.72512428302794,14809.1576995759,27960.7123590162,-55496.7249990061,-83457.4373580223
"MG-3101904-8333B0DA3B0C43028018A18A0FD696DBpresent",0,0,1910.97000000015,50.3100000000039,"Present",1910.97000000015,0,817282.044385264,817282.044385264,0,0,0,0,0,8024195.58523603,2496529.5803033,"MG-3101904-8333B0DA3B0C43028018A18A0FD696DB",0,0,5.0744,0.0311188911566485,131.934799194336,347786.4375,7685536.5,15.6890592575073,26.3775482177734,3101904,3105,15.0458793640137,0.199928671121597,0.11404026299715,50.5125007629395,0.38285955786705,6122.11492342706,1319348.03452395,0.00464025791734457,6.48000001907349,0.0491151697933674,15.0458793640137,0.11404026299715,"present",0,"present",0,0,0,0,0,0,0,0
