"codigo_ibg","yield","FC_m","FC2km","FC500m","PollinatorD","EUdist","ID"
3108008,20.33333333,0.1,0.11,0.106666667,0.3,249.2671375,"other municipalities"
3108305,18.66666667,0.096333333,0.114333333,0.106333333,0.3,185.1776737,"other municipalities"
3108404,19.75,0.107,0.121333333,0.119,0.3,162.6095467,"study area"
3108701,14.16666667,0.275,0.2715,0.2585,0.3,126.078791,"other municipalities"
3108909,21.66666667,0.137,0.103333333,0.106333333,0.3,242.0657141,"other municipalities"
3109105,20.66666667,0.085333333,0.102333333,0.083,0.3,191.2505801,"study area"
3109501,32.83333333,0.11,0.136333333,0.144666667,0.3,138.6495048,"study area"
3109709,24,0.066333333,0.094666667,0.13,0.3,160.7972118,"study area"
3110103,18.66666667,0.239666667,0.238,0.211333333,0.3,108.8937559,"other municipalities"
3110202,17.66666667,0.224,0.216666667,0.212666667,0.3,119.9057149,"other municipalities"
3110301,23.33333333,0.131,0.134,0.124,0.3,191.8554901,"other municipalities"
3110400,22,0.161,0.177333333,0.172,0.3,131.2552858,"other municipalities"
3110707,19.02777778,0.095,0.090666667,0.085666667,0.3,227.7106,"study area"
3110905,19.33333333,0.080333333,0.087333333,0.074333333,0.3,232.3376566,"study area"
3111002,19.77777778,0.096666667,0.103666667,0.109,0.3,170.9205168,"study area"
3111200,16.66666667,0.088,0.088333333,0.086333333,0.3,227.5634361,"other municipalities"
3111705,21,0.203333333,0.226333333,0.201,0.3,133.0767866,"other municipalities"
3111903,23.66666667,0.065333333,0.053666667,0.054,0.3,293.5350659,"other municipalities"
3112109,20,0.372666667,0.354333333,0.311,0.3,80.71308505,"other municipalities"
3112208,29.11111111,0.206,0.173333333,0.247,0.3,109.5502539,"other municipalities"
3112901,19.66666667,0.273666667,0.27,0.267,0.3,76.68296746,"other municipalities"
3113008,14,0.355666667,0.435666667,0.38,0.3,81.31105399,"other municipalities"
3113305,18.33333333,0.244666667,0.255666667,0.225666667,0.3,124.3619077,"other municipalities"
3113404,18.66666667,0.281333333,0.270333333,0.296,0.3,61.90621613,"other municipalities"
3113602,22.66666667,0.073666667,0.091666667,0.095,0.3,207.2432143,"study area"
3113909,21.66666667,0.090666667,0.093,0.085,0.3,225.4209051,"study area"
3114105,25,0.157333333,0.196666667,0.208666667,0.3,126.8389708,"study area"
3114501,32.65555556,0.143333333,0.117666667,0.107666667,0.3,202.8400116,"other municipalities"
3114600,29.25555556,0.081,0.058,0.090333333,0.3,225.6961734,"other municipalities"
3114709,22.66666667,0.107,0.108333333,0.106,0.3,169.320962,"other municipalities"
3114907,20.68888889,0.111333333,0.086,0.084,0.3,180.0210354,"other municipalities"
3115201,33.13888889,0.060333333,0.063,0.068,0.3,249.0336943,"other municipalities"
3115458,11.66666667,0.399666667,0.409,0.343666667,0.3,78.49957698,"other municipalities"
3115508,21,0.101333333,0.096666667,0.112,0.3,203.9954114,"other municipalities"
3115706,7.705555556,0.023666667,0.028,0.028333333,0.524,650.2292518,"other municipalities"
3116001,21.33333333,0.255666667,0.293333333,0.279,0.3,88.63257886,"other municipalities"
3116704,25.38888889,0.169666667,0.171666667,0.17,0.3,141.4980613,"other municipalities"
3116803,11.74444444,0.379,0.312666667,0.275,0.3,80.16436577,"other municipalities"
3117009,9.777777778,0.21,0.245,0.284666667,0.4,190.1140667,"other municipalities"
3117108,28.23333333,0.074,0.070666667,0.069333333,0.3,254.5969134,"study area"
3117207,22.66666667,0.212666667,0.173,0.141333333,0.3,163.619663,"other municipalities"
3117405,19.33333333,0.193,0.267,0.298333333,0.3,72.77704279,"other municipalities"
3117702,18.66666667,0.084333333,0.082,0.085,0.3,236.3391504,"study area"
3117801,20.11111111,0.150666667,0.142666667,0.159,0.3,174.4514921,"other municipalities"
3117900,22.33888889,0.100333333,0.093333333,0.094,0.3,289.9968836,"other municipalities"
3118403,22.31666667,0.089666667,0.149666667,0.163,0.328,198.6114254,"other municipalities"
3118700,18.33333333,0.051,0.051666667,0.052,0.3,332.8911715,"study area"
3119005,19,0.063666667,0.066666667,0.075666667,0.3,262.6019389,"study area"
3119203,13.91111111,0.310333333,0.309333333,0.396333333,0.444,45.02173505,"other municipalities"
3120508,22.66666667,0.168333333,0.174666667,0.178666667,0.3,134.5385205,"study area"
3120805,16.66666667,0.099,0.051666667,0.063333333,0.3,265.30158,"other municipalities"
3120839,17.9,0.034,0.082333333,0.099,0.3,264.6848706,"other municipalities"
3121407,9.838888889,0.082333333,0.119,0.096,0.3,187.7338188,"other municipalities"
3121704,10,0.262,0.309,0.403,0.3,78.50714309,"other municipalities"
3121803,13.33333333,0.438666667,0.381666667,0.409333333,0.3,43.30104955,"other municipalities"
3121902,15,0.206666667,0.242,0.243333333,0.3,132.7130303,"other municipalities"
3122009,22.66666667,0.238,0.238666667,0.222666667,0.3,106.0213835,"other municipalities"
3122405,26.66666667,0.076666667,0.108666667,0.099,0.3,195.4301212,"other municipalities"
3122454,23.66666667,0.303666667,0.291333333,0.175666667,0.3,203.9063319,"other municipalities"
3122504,20,0.078333333,0.096,0.083333333,0.3,149.9249499,"other municipalities"
3122801,20.01111111,0.169333333,0.097333333,0.097,0.3,146.3962728,"other municipalities"
3123106,10.55555556,0.356666667,0.392,0.485666667,0.3,31.20228514,"other municipalities"
3123304,22.01111111,0.176666667,0.194666667,0.169333333,0.3,145.9473755,"other municipalities"
3123528,27.66111111,0.353,0.345666667,0.346,0.3,65.74650918,"other municipalities"
3123601,20,0.040666667,0.033666667,0.039666667,0.3,356.4205774,"study area"
3123858,16.66666667,0.192,0.201666667,0.216,0.3,83.15122314,"other municipalities"
3123908,26.45555556,0.115,0.123666667,0.122,0.3,172.6911213,"other municipalities"
3124005,25,0.256333333,0.222666667,0.176333333,0.3,138.8931786,"other municipalities"
3124203,26.33333333,0.331,0.306666667,0.270666667,0.3,98.26782028,"other municipalities"
3124401,19,0.111,0.096,0.072333333,0.3,231.0597287,"other municipalities"
3124906,24.47222222,0.196,0.269,0.216666667,0.3,141.3708222,"other municipalities"
3125200,23.33333333,0.037,0.041333333,0.039666667,0.3,374.9230372,"other municipalities"
3125309,17.66666667,0.255666667,0.260666667,0.182,0.3,169.7136061,"other municipalities"
3125903,16.01111111,0.422,0.577333333,0.350333333,0.3,101.4871678,"other municipalities"
3125952,20.66666667,0.314666667,0.259,0.249666667,0.3,84.19029107,"other municipalities"
3126307,21,0.241333333,0.273333333,0.240666667,0.3,93.73156473,"study area"
3126752,13.33333333,0.155333333,0.129333333,0.160666667,0.3,133.6728494,"other municipalities"
3126802,14.32222222,0.220666667,0.212,0.190333333,0.3,95.92081769,"other municipalities"
3127503,12.28333333,0.351333333,0.37,0.464,0.3,78.13914312,"other municipalities"
3128204,18.63333333,0.350333333,0.378,0.318,0.3,99.20706054,"other municipalities"
3128303,25,0.113666667,0.116,0.101666667,0.3,201.1379995,"study area"
3128402,16,0.108666667,0.101333333,0.079333333,0.3,265.7542625,"other municipalities"
3128709,21.66666667,0.173,0.185666667,0.163333333,0.3,169.0983803,"study area"
3129004,24.68888889,0.070333333,0.164666667,0.151333333,0.3,171.4173766,"other municipalities"
3129202,20.33333333,0.144666667,0.158666667,0.162,0.3,154.1351939,"study area"
3129301,18.88888889,0.153,0.135333333,0.141666667,0.3,227.8355356,"other municipalities"
